strategy,day,critical,deceased,reward,economic_index
Holon_DESCENDING_0.35,118,1375,256,58144685.6243757,1657609372.0
Holon_DESCENDING_0.35,119,1375,256,58016443.18590650,1667280426.0
Holon_DESCENDING_0.35,120,1375,256,38582259.94447810,1676928464.0
Holon_DESCENDING_0.35,121,1377,256,57811442.85907000,1686565354.0
Holon_DESCENDING_0.35,122,1377,256,38477375.498610900,1696187174.0
Holon_DESCENDING_0.35,123,1378,256,38477655.63243740,1705809064.0
Holon_DESCENDING_0.35,124,1381,256,57696726.16034560,1715426836.0
Holon_DESCENDING_0.35,125,1388,256,57756240.18253940,1725054526.0
Holon_DESCENDING_0.35,126,1393,256,38562556.61361070,1734697638.0
Holon_DESCENDING_0.35,127,1402,256,57881520.89605960,1744346206.0
Holon_DESCENDING_0.35,128,1413,256,38613574.51677380,1754002070.0
Holon_DESCENDING_0.35,129,1424,256,58024324.55376350,1763674436.0
Holon_DESCENDING_0.35,130,1434,256,58063077.50534500,1773353260.0
Holon_DESCENDING_0.35,131,1442,257,58118067.92901840,1783041248.0
Holon_DESCENDING_0.35,132,1451,259,58188251.95861010,1792740932.0
Holon_DESCENDING_0.35,133,1457,261,38845132.52350800,1802454676.0
Holon_DESCENDING_0.35,134,1463,263,38856879.735344700,1812171356.0
Holon_DESCENDING_0.35,135,1470,264,38882076.41927320,1821894334.0
Holon_DESCENDING_0.35,136,1479,267,58332103.497283300,1831617990.0
Holon_DESCENDING_0.35,137,1481,272,58408803.92835460,1841354428.0
Holon_DESCENDING_0.35,138,1473,279,38980270.352028000,1851101950.0
Holon_DESCENDING_0.35,139,1471,283,39011659.30360960,1860857318.0
Holon_DESCENDING_0.35,140,1470,285,39052344.79049720,1870622856.0
